,launch_speed,launch_angle,Home Run or Out
13373,82.9,-21,Out
11980,94.7,-5,Out
4093,80.0,69,Out
2701,102.4,9,Hit - Not Home Run
5412,86.8,-26,Out
1637,86.4,53,Out
8828,76.2,15,Out
307,71.3,-26,Out
12554,84.3,36,Out
3624,104.7,0,Hit - Not Home Run
14717,88.0,45,Out
637,95.9,34,Home Run
3755,78.0,8,Out
4317,76.0,18,Hit - Not Home Run
13608,78.3,36,Out
12878,106.2,15,Hit - Not Home Run
10084,106.0,16,Hit - Not Home Run
3699,74.3,17,Hit - Not Home Run
10939,84.6,46,Out
3993,88.3,21,Out
1977,96.6,15,Out
11233,86.3,-6,Out
12026,92.8,21,Out
7201,102.3,-14,Out
5417,63.4,-1,Out
3194,94.8,-31,Out
10386,63.6,-48,Out
15393,110.0,12,Hit - Not Home Run
7256,85.3,-38,Out
2613,67.3,-24,Out
5507,87.4,4,Out
13096,76.3,-26,Out
7934,100.7,29,Home Run
1172,82.9,-21,Out
7975,96.3,12,Hit - Not Home Run
3285,103.5,-1,Hit - Not Home Run
5403,92.4,23,Out
3021,100.5,7,Out
13823,51.7,0,Out
3796,94.9,-2,Hit - Not Home Run
9454,94.5,26,Out
15586,103.7,29,Home Run
6227,57.1,5,Out
12771,101.9,35,Home Run
2886,76.5,-8,Out
8294,104.1,31,Home Run
13186,91.4,40,Out
9612,78.6,33,Out
13314,82.9,9,Hit - Not Home Run
11726,82.9,-21,Out
9954,81.7,51,Hit - Not Home Run
8881,86.0,3,Hit - Not Home Run
13250,103.1,10,Hit - Not Home Run
7151,95.7,-19,Out
6551,91.4,50,Out
10955,95.8,-7,Out
9792,80.4,32,Out
1660,84.6,-9,Out
11149,98.3,39,Home Run
5499,87.0,8,Out
6507,97.5,26,Out
13524,93.5,1,Out
8180,106.7,1,Hit - Not Home Run
7486,93.4,56,Out
6053,93.5,-19,Hit - Not Home Run
3952,60.7,-3,Out
12837,71.1,14,Out
1270,82.9,-21,Out
7773,69.5,7,Out
12305,80.0,69,Out
2840,102.0,-7,Hit - Not Home Run
15338,97.1,-23,Out
478,80.0,69,Out
10927,104.0,24,Home Run
12713,93.1,24,Hit - Not Home Run
4744,93.1,29,Hit - Not Home Run
8175,68.3,56,Out
1633,89.7,17,Out
9843,85.8,-31,Out
14647,91.8,3,Hit - Not Home Run
3221,89.9,51,Out
13207,99.9,21,Hit - Not Home Run
8518,72.8,-13,Out
3480,104.3,7,Out
11188,93.6,22,Hit - Not Home Run
15480,97.1,21,Out
14709,100.8,-10,Out
416,100.0,28,Hit - Not Home Run
11009,82.9,-21,Out
10125,100.9,55,Out
5124,86.9,28,Out
11696,100.9,-15,Out
