Year,Planer Name,ALHomeRuns,ALPED,Player Name,NLHomeRuns,SE,NLPED,GP
1921,Babe Ruth,59,no,High Pockets Kelly,23,no,no,154
1922,Ken Williams,39,no,Rogers Hornsby,42,no,no,154
1923,Babe Ruth,41,no,Cy Williams,41,no,no,154
1924,Babe Ruth,46,no,Jack Fournier,27,no,no,154
1925,Bob Meusel,33,no,Rogers Hornsby,39,no,no,154
1926,Babe Ruth,47,no,Hack Wilson,21,no,no,154
1927,Babe Ruth,60,no,Cy Williams,30,no,no,154
1928,Babe Ruth,54,no,Jim Bottomley,31,no,no,154
1929,Babe Ruth,46,no,Chuck Klein,43,no,no,154
1930,Babe Ruth,49,no,Hack Wilson,56,no,no,154
1931,Lou Gehrig,46,no,Chuck Klein,31,no,no,154
1932,Jimmie Foxx,58,no,Chuck Klein,38,no,no,154
1933,Jimmie Foxx,48,no,Chuck Klein,28,no,no,154
1934,Lou Gehrig,49,no,Ripper Collins,35,no,no,154
1935,Jimmie Foxx,36,no,Wally Berger,34,no,no,154
1936,Lou Gehrig,49,no,Mel Ott,33,no,no,154
1937,Joe DiMaggio,46,no,Joe Medwick,31,no,no,154
1938,Hank Greenberg,58,no,Mel Ott,36,no,no,154
1939,Jimmie Foxx,35,no,Johnny Mize,28,no,no,154
1940,Hank Greenberg,41,no,Johnny Mize,43,no,no,154
1941,Ted Williams,37,no,Dolph Camilli,34,no,no,154
1942,Ted Williams,36,no,Mel Ott,30,no,no,154
1943,Rudy York,34,no,Bill Nicholson,29,no,no,154
1944,Nick Etten,22,no,Bill Nicholson,33,no,no,154
1945,Vern Stephens,24,no,Tommy Holmes,28,no,no,154
1946,Hank Greenberg,44,no,Ralph Kiner,23,no,no,154
1947,Ted Williams,32,no,Ralph Kiner,51,no,no,154
1948,Joe DiMaggio,39,no,Ralph Kiner,40,no,no,154
1949,Ted Williams,43,no,Ralph Kiner,54,no,no,154
1950,Al Rosen,37,no,Ralph Kiner,47,no,no,154
1951,Gus Zernial,33,no,Ralph Kiner,42,no,no,154
1952,Larry Doby,32,no,Ralph Kiner,37,no,no,154
1953,Al Rosen,43,no,Eddie Mathews,47,no,no,154
1954,Larry Doby,32,no,Ted Kluszewski,49,no,no,154
1955,Mickey Mantle,37,no,Willie Mays,51,no,no,154
1956,Mickey Mantle,52,no,Duke Snider,43,no,no,154
1957,Roy Sievers,42,no,Hank Aaron,44,no,no,154
1958,Mickey Mantle,42,no,Ernie Banks,47,no,no,154
1959,Rocky Colavito,42,no,Eddie Mathews,46,no,no,154
1960,Mickey Mantle,40,no,Ernie Banks,41,no,no,154
1961,Roger Maris,61,no,Orlando Cepeda,46,no,no,162
1962,Harmon Killebrew,48,no,Willie Mays,49,no,no,162
1963,Harmon Killebrew,45,no,Hank Aaron,44,no,no,162
1964,Harmon Killebrew,49,no,Willie Mays,47,no,no,162
1965,Tony Conigliaro,32,no,Willie Mays,52,no,no,162
1966,Frank Robinson,49,no,Hank Aaron,44,no,no,162
1967,Harmon Killebrew,44,no,Hank Aaron,39,no,no,162
1968,Frank Howard,44,no,Willie McCovey,36,no,no,162
1969,Harmon Killebrew,49,no,Willie McCovey,45,no,no,162
1970,Frank Howard,44,no,Johnny Bench,45,no,no,162
