"Borough","Year.Filed","Year.Settled","Claim.Type","Settlement.Amount"
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",30000
"** Borough Missing **","2013",2016,"Civil Rights Claims",5000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",25000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",15000
"BROOKLYN (KINGS)","2014",2016,"Civil Rights Claims",18000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",15000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2014",2016,"Civil Rights Claims",150000
"BROOKLYN (KINGS)","2011",2016,"Automobile Accident (Pi)",10000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",1500
"BROOKLYN (KINGS)","2016",2016,"Automobile Accident",794.14
"BRONX","2015",2016,"Civil Rights Claims",20000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",17500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",10000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",20000
"BROOKLYN (KINGS)","2012",2016,"Civil Rights Claims",1e+05
"BROOKLYN (KINGS)","2012",2016,"Peace Officer/Police Action (Pi)",20000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",17500
"STATEN ISLAND (RICHMOND)","2014",2016,"Peace Officer/Police Action (Pi)",12500
"QUEENS","2013",2016,"Employee Uniformed Service (Pi)",1500000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",12500
"MANHATTAN (NEW YORK)","2012",2016,"Civil Rights Claims",10001
"MANHATTAN (NEW YORK)","2015",2016,"Peace Officer/Police Action (Pi)",10000
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",20000
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",50000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",17500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",25000
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",5500
"** Borough Missing **","2015",2016,"Automobile Accident",1853.87
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",35000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",37500
"BRONX","2015",2016,"Automobile Accident (Pi)",20000
"BROOKLYN (KINGS)","2014",2016,"Civil Rights Claims",20001
"BRONX","2015",2016,"Civil Rights Claims",21500
"BROOKLYN (KINGS)","2016",2016,"Peace Officer/Police Action (Pi)",9500
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",15000
"STATEN ISLAND (RICHMOND)","2014",2016,"Peace Officer/Police Action (Pi)",25000
"** Borough Missing **","2014",2016,"Civil Rights Claims",20001
"BRONX","2013",2016,"Peace Officer/Police Action (Pi)",2500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",35000
"BRONX","2014",2016,"Automobile Accident",3000.71
"MANHATTAN (NEW YORK)","2015",2016,"Automobile Accident",738.31
"NASSAU","2015",2016,"Automobile Accident",2644.79
"STATEN ISLAND (RICHMOND)","2015",2016,"Peace Officer/Police Action (Pi)",5000
"BRONX","2015",2016,"Automobile Accident",7310.93
"MANHATTAN (NEW YORK)","2014",2016,"Automobile Accident",2339.5
"STATEN ISLAND (RICHMOND)","2013",2016,"Peace Officer/Police Action (Pi)",2500
"BROOKLYN (KINGS)","2013",2016,"Peace Officer/Police Action (Pi)",12500
"BRONX","2014",2016,"Automobile Accident",2482
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",17500
"MANHATTAN (NEW YORK)","2015",2016,"Civil Rights Claims",40601
"QUEENS","2015",2016,"Civil Rights Claims",50000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",5000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",20000
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",2500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",37500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",12500
"MANHATTAN (NEW YORK)","2013",2016,"Automobile Accident (Pi)",2500
"QUEENS","2015",2016,"Automobile Accident",5181.25
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",17500
"BROOKLYN (KINGS)","2008",2016,"Peace Officer/Police Action (Pi)",20000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",50000
"BROOKLYN (KINGS)","2014",2016,"Peace Officer/Police Action (Pi)",1000
"QUEENS","2015",2016,"Peace Officer/Police Action (Pi)",1500
"STATEN ISLAND (RICHMOND)","2015",2016,"Civil Rights Claims",7500
"BRONX","2014",2016,"Civil Rights Claims",15000
"BROOKLYN (KINGS)","2015",2016,"Automobile Accident",4427.93
"MANHATTAN (NEW YORK)","2012",2016,"Civil Rights Claims",20000
"BROOKLYN (KINGS)","2014",2016,"Civil Rights Claims",35000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",27500
"QUEENS","2015",2016,"Civil Rights Claims",12500
"STATEN ISLAND (RICHMOND)","2013",2016,"Employee Uniformed Service (Pi)",65000
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",17500
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",17500
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",13000
"** Borough Missing **","2015",2016,"Peace Officer/Police Action (Pi)",1500
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",15000
"MANHATTAN (NEW YORK)","2014",2016,"Peace Officer/Police Action (Pi)",30000
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",40000
"BROOKLYN (KINGS)","2014",2016,"Civil Rights Claims",15000
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",10000
"MANHATTAN (NEW YORK)","2013",2016,"Peace Officer/Police Action (Pi)",12500
"BRONX","2014",2016,"Peace Officer/Police Action (Pi)",7500
"QUEENS","2012",2016,"Peace Officer/Police Action (Pi)",60000
"BROOKLYN (KINGS)","2015",2016,"Peace Officer/Police Action (Pi)",20000
"BRONX","2015",2016,"Automobile Accident",1380.45
"BROOKLYN (KINGS)","2014",2016,"Civil Rights Claims",25000
"BRONX","2010",2016,"Peace Officer/Police Action (Pi)",35000
"BRONX","2014",2016,"Civil Rights Claims",25000
"BRONX","2012",2016,"Peace Officer/Police Action (Pi)",5000
"** Borough Missing **","2014",2016,"Civil Rights Claims",30000
"BRONX","2007",2016,"Peace Officer/Police Action (Pi)",7500
"BROOKLYN (KINGS)","2015",2016,"Civil Rights Claims",25000
"BRONX","2015",2016,"Peace Officer/Police Action (Pi)",17500
"BROOKLYN (KINGS)","2008",2016,"Automobile Accident (Pi)",650000
"BROOKLYN (KINGS)","2012",2016,"Peace Officer/Police Action (Pi)",15000
