"launch_speed","launch_angle","event"
80,69,"Out"
96.3,57,"Out"
91.3,20,"Hit - Not Home Run"
82,51,"Out"
101.1,6,"Hit - Not Home Run"
60.6,25,"Out"
100.1,20,"Hit - Not Home Run"
96.7,15,"Hit - Not Home Run"
100.9,-9,"Out"
70.4,58,"Out"
102.8,13,"Out"
95.8,21,"Out"
82.9,-21,"Out"
100.3,6,"Hit - Not Home Run"
84.2,1,"Out"
98.7,12,"Out"
107,7,"Hit - Not Home Run"
106,3,"Out"
103.6,1,"Hit - Not Home Run"
82.3,18,"Hit - Not Home Run"
93.4,44,"Out"
83,31,"Out"
103.1,-2,"Out"
80,69,"Out"
100.6,37,"Out"
84.9,34,"Out"
86.2,38,"Out"
76.5,-52,"Hit - Not Home Run"
82.5,17,"Hit - Not Home Run"
80,69,"Out"
93.2,19,"Out"
93.6,42,"Out"
79.8,15,"Hit - Not Home Run"
98.7,-25,"Out"
82.9,-21,"Out"
100.2,22,"Out"
82.9,-21,"Out"
101.2,32,"Home Run"
93.9,-30,"Out"
101.5,-10,"Out"
78,-1,"Out"
73.6,5,"Hit - Not Home Run"
101.8,19,"Out"
73.1,42,"Out"
71.4,18,"Hit - Not Home Run"
93.7,-10,"Out"
80,69,"Out"
105.5,-19,"Out"
93.6,-18,"Out"
89.3,22,"Hit - Not Home Run"
90.3,-17,"Hit - Not Home Run"
99.4,-24,"Out"
98.8,26,"Out"
101.2,20,"Out"
90.3,-17,"Hit - Not Home Run"
92.4,7,"Hit - Not Home Run"
89.2,39,"Out"
93.2,25,"Out"
97.8,-11,"Out"
94.9,-2,"Hit - Not Home Run"
82.9,47,"Out"
72.1,-43,"Out"
87.3,14,"Hit - Not Home Run"
95.5,32,"Home Run"
80,69,"Out"
82.9,-21,"Out"
107.4,32,"Home Run"
99,21,"Out"
77.7,20,"Hit - Not Home Run"
99.3,23,"Out"
107,30,"Home Run"
89.5,44,"Out"
78.6,32,"Out"
102.5,20,"Out"
84.6,4,"Out"
