Borough,Arson,Burglary,DangerousWeapons,FelonyAssault,GrandLarceny,Rape,Robbery,SexCrimes,year
Bronx,24,748,1272,2557,933,123,2172,88,2013
Brooklyn,29,1485,2051,4766,1768,241,3021,206,2013
Manhattan,38,1078,1000,2324,2899,115,1715,158,2013
Queens,16,1121,1689,2931,1503,145,1904,148,2013
Staten Island,5,272,204,454,393,28,323,36,2013
Bronx,40,719,1243,2832,927,180,2061,130,2014
Brooklyn,48,1416,1941,4608,1960,190,2976,198,2014
Manhattan,17,1136,862,2389,3775,88,1764,137,2014
Queens,15,885,1279,2774,1627,191,1651,133,2014
Staten Island,4,250,169,564,442,27,282,26,2014
Bronx,19,787,1250,3300,1108,191,2420,146,2015
Brooklyn,33,1353,2211,4443,1953,215,3342,165,2015
Manhattan,12,1199,1034,2456,3923,142,2068,176,2015
Queens,9,856,1185,2884,1679,182,1828,132,2015
Staten Island,6,196,201,564,352,19,311,18,2015
