ARREST_KEY,year_grouped,fel_type,boro,age_grouped,sex,race,prec,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,year,filter_$
94786511,2014,GRAND LARCENY,M,25-44,M,BLACK,1,982157,197547,40.708905605,-74.007550761,2014,0
139843889,2014,BURGLARY,M,45-64,M,WHITE HISPANIC,1,984771,203480,40.725190503,-73.998121775,2014,0
147636470,2015,FELONY ASSAULT,M,25-44,M,BLACK,1,982351,201758,40.72046384,-74.006852204,2015,0
147783483,2015,BURGLARY,M,25-44,M,WHITE,1,982351,201758,40.72046384,-74.006852204,2015,0
148053172,2015,GRAND LARCENY,M,18-24,F,BLACK,1,982351,201758,40.72046384,-74.006852204,2015,0
148130639,2015,ROBBERY,M,18-24,F,BLACK,1,982863,196802,40.706860895,-74.00500411,2015,0
148857195,2015,GRAND LARCENY,M,18-24,F,BLACK,1,982351,201758,40.72046384,-74.006852204,2015,0
150164224,2016,GRAND LARCENY,M,25-44,M,BLACK,1,984004,202749,40.723184097,-74.000888943,2016,0
153901316,2016,GRAND LARCENY,M,25-44,M,BLACK,1,982351,201758,40.72046384,-74.006852204,2016,0
156786697,2016,GRAND LARCENY,M,25-44,F,BLACK,1,982932,202630,40.722857375,-74.004756382,2016,0
163929047,2017,FELONY ASSAULT,M,25-44,M,WHITE HISPANIC,1,982351,201758,40.72046384,-74.006852204,2017,0
171156407,2017,MURDER & NON-NEGL. MANSLAUGHTE,M,25-44,M,ASIAN/PAC.ISL,1,982351,201758,40.72046384,-74.006852204,2017,0
89584929,2013,ROBBERY,M,18-24,M,BLACK HISPANIC,5,986666,201404,40.71949207,-73.991285709,2013,0
90749340,2013,FELONY ASSAULT,M,25-44,M,WHITE HISPANIC,5,983903,200257,40.716344152,-74.001253193,2013,0
92759585,2013,ROBBERY,M,45-64,M,BLACK,5,984006,198801,40.712347783,-74.000881584,2013,0
93147222,2013,FELONY ASSAULT,M,18-24,M,BLACK,5,983903,200257,40.716344152,-74.001253193,2013,0
93661190,2013,ROBBERY,M,45-64,M,BLACK,5,984006,198801,40.712347783,-74.000881584,2013,0
